Title,Bandcamp Track ID,Tags,
Revs,1558172022,"mysterious, cold",
Tense,467611322,"acoustic, sad, warm",
Thinking,1239672909,"textural, cold",
Wistful,1907899240,"warm, mysterious",
Acoustic,595276703,"acoustic, warm",get rid of some buzz
Amlife,3305470310,"sad, warm",make louder
Electric Guitar,3469853350,"warm, textural",
Error,406455703,"mysterious, warm",
Glitch,2779350095,"cold, mysterious",
Math,3656434147,"textural, warm, upbeat",make claps quieter
Mystery,1916484572,mysterious,
Polite,4233042919,"warm, upbeat",make attacks less sharp
Reverse,316354893,"textural, sad",
Half,490216849,"sad, textural, warm",
Sakura,2186578318,"cold, mysterious",
Chimes,1437030095,textural,
Mood,3563286300,mysterious,
